workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_1644,It does not have arms.,3BF51CHDTX3L0ZWQ3UIDWRNOAQOH01,33,ub5d972a1-de16-4d0a-aa40-85cd3a69aa8a,chair,ShapeNet,part_3_removed_ub5d972a1-de16-4d0a-aa40-85cd3a69aa8a,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_ub5d972a1-de16-4d0a-aa40-85cd3a69aa8a,chair/ShapeNet/ub5d972a1-de16-4d0a-aa40-85cd3a69aa8a,FALSE,chair,chair,0,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,train,test,train,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_428,There are no armrests.,33UKMF931BDCLHKC1QNCULSHISTTT6,157,ff793ca32407b2022a54a8462d1ffe9d,chair,ShapeNet,part_3_removed_ff793ca32407b2022a54a8462d1ffe9d,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_ff793ca32407b2022a54a8462d1ffe9d,chair/ShapeNet/ff793ca32407b2022a54a8462d1ffe9d,FALSE,chair,chair,4,"['there', 'are', 'no', 'armrests']",4,there are no armrests,train,test,train,test,"[1, 15, 16, 123, 2271, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1347,There are no arms,33OOO72IVJEVZ0I1F4SM5BSDU8ECTV,60,fd2c754ca43457107d910d51d878f708,chair,ShapeNet,part_3_removed_fd2c754ca43457107d910d51d878f708,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_fd2c754ca43457107d910d51d878f708,chair/ShapeNet/fd2c754ca43457107d910d51d878f708,TRUE,chair,chair,3,"['there', 'are', 'no', 'arms']",4,there are no arms,train,test,train,test,"[1, 15, 16, 123, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_591,There are no armrests,37FMASSAYEKMGHAK7SXNGKKM17YIBF,288,fcfb3a50acf5e83ecc0484ea4f50062,chair,ShapeNet,part_3_removed_fcfb3a50acf5e83ecc0484ea4f50062,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_fcfb3a50acf5e83ecc0484ea4f50062,chair/ShapeNet/fcfb3a50acf5e83ecc0484ea4f50062,TRUE,chair,chair,2,"['there', 'are', 'no', 'armrests']",4,there are no armrests,train,test,train,test,"[1, 15, 16, 123, 2271, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_655,The chair does not have arms,37W3JXSD6810UKN061FMPMRV1PWWYT,164,fcd8163b26250f499fe49e672436bc45,chair,ShapeNet,part_3_removed_fcd8163b26250f499fe49e672436bc45,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_fcd8163b26250f499fe49e672436bc45,chair/ShapeNet/fcd8163b26250f499fe49e672436bc45,TRUE,chair,chair,1,"['the', 'chair', 'does', 'not', 'have', 'arms']",6,the chair does not have arms,train,test,train,test,"[1, 10, 2251, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,It does not have arms.,3C44YUNSI3I7C0V8YJEDK79YQ5VDPH,108,fc2a1c4c332f7731e45ef4135c266a12,chair,ShapeNet,part_3_removed_fc2a1c4c332f7731e45ef4135c266a12,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_fc2a1c4c332f7731e45ef4135c266a12,chair/ShapeNet/fc2a1c4c332f7731e45ef4135c266a12,FALSE,chair,chair,4,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,train,test,train,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_571,It does not have arms,34QN5IT0T1KS7OVX0QO7JEUP7ZP08G,81,fad907934656c52ba1abaa6eee3840a6,chair,ShapeNet,part_3_removed_fad907934656c52ba1abaa6eee3840a6,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_fad907934656c52ba1abaa6eee3840a6,chair/ShapeNet/fad907934656c52ba1abaa6eee3840a6,TRUE,chair,chair,4,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,train,test,train,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_688,there are no arm rests,3FTYUGLFSWE3JQDPE45ZM14HZ9KD5T,47,fad907934656c52ba1abaa6eee3840a6,chair,ShapeNet,part_3_removed_fad907934656c52ba1abaa6eee3840a6,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_fad907934656c52ba1abaa6eee3840a6,chair/ShapeNet/fad907934656c52ba1abaa6eee3840a6,TRUE,chair,chair,2,"['there', 'are', 'no', 'arm', 'rests']",5,there are no arm rests,train,test,train,test,"[1, 15, 16, 123, 517, 540, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_952,It does NOT have a shade shaped like a cone.,3B3WTRP3DDVZH3HLK5YZ2YIE8BI92N,60,ec782fd2f4825158f24dd57a3f1f3b51,lamp,ShapeNet,part_1_removed_ec782fd2f4825158f24dd57a3f1f3b51,lamp,ShapeNet,FALSE,segmented_lamp/part_1_removed/part_1_removed_ec782fd2f4825158f24dd57a3f1f3b51,lamp/ShapeNet/ec782fd2f4825158f24dd57a3f1f3b51,FALSE,lamp,lamp,1,"['it', 'does', 'not', 'have', 'a', 'shade', 'shaped', 'like', 'a', 'cone']",10,it does not have a shade shaped like a cone,train,test,train,test,"[1, 23, 39, 40, 84, 26, 1873, 14, 35, 26, 143, 2, 0, 0, 0, 0, 0, 0]"
user_2039,The target does not have a base.,3L4PIM1GQV9VMO6E775G2NJDT9TRYD,136,ec782fd2f4825158f24dd57a3f1f3b51,lamp,ShapeNet,part_0_removed_ec782fd2f4825158f24dd57a3f1f3b51,lamp,ShapeNet,FALSE,segmented_lamp/part_0_removed/part_0_removed_ec782fd2f4825158f24dd57a3f1f3b51,lamp/ShapeNet/ec782fd2f4825158f24dd57a3f1f3b51,TRUE,lamp,lamp,2,"['the', 'target', 'does', 'not', 'have', 'a', 'base']",7,the target does not have a base,train,test,train,test,"[1, 10, 11, 39, 40, 84, 26, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_251,There are no arm rests,32M8BPYGAVFI7YIVNEP1HVBJHMQIG0,45,eb7c250519101dc22f21cf17406f1f25,chair,ShapeNet,part_3_removed_eb7c250519101dc22f21cf17406f1f25,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_eb7c250519101dc22f21cf17406f1f25,chair/ShapeNet/eb7c250519101dc22f21cf17406f1f25,FALSE,chair,chair,4,"['there', 'are', 'no', 'arm', 'rests']",5,there are no arm rests,train,test,train,test,"[1, 15, 16, 123, 517, 540, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_948,It does not have arms,3C6FJU71TSMN2GYVB10L7Y6YGA2UYB,103,eb32fa1ae8069d0998e0d1738edd4f19,chair,ShapeNet,part_3_removed_eb32fa1ae8069d0998e0d1738edd4f19,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_eb32fa1ae8069d0998e0d1738edd4f19,chair/ShapeNet/eb32fa1ae8069d0998e0d1738edd4f19,FALSE,chair,chair,1,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,train,test,train,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_948,It does not have legs,3C6FJU71TSMN2GYVB10L7Y6YGA2UYB,103,eb32fa1ae8069d0998e0d1738edd4f19,chair,ShapeNet,part_2_removed_eb32fa1ae8069d0998e0d1738edd4f19,chair,ShapeNet,FALSE,segmented_chair/part_2_removed/part_2_removed_eb32fa1ae8069d0998e0d1738edd4f19,chair/ShapeNet/eb32fa1ae8069d0998e0d1738edd4f19,FALSE,chair,chair,4,"['it', 'does', 'not', 'have', 'legs']",5,it does not have legs,train,test,train,test,"[1, 23, 39, 40, 84, 547, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1347,There are no arms,3SBEHTYCWPWITP3VHKB7OVINMFFIYR,55,eb29a065b495dffc85528d560ddea455,chair,ShapeNet,part_3_removed_eb29a065b495dffc85528d560ddea455,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_eb29a065b495dffc85528d560ddea455,chair/ShapeNet/eb29a065b495dffc85528d560ddea455,FALSE,chair,chair,0,"['there', 'are', 'no', 'arms']",4,there are no arms,test,test,test,test,"[1, 15, 16, 123, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_688,there are no arm rests,3SUWZRL0M064U0R3FIQOKP02VFDE6I,40,ea91d70feb603421f74aae127b28c047,chair,ShapeNet,part_3_removed_ea91d70feb603421f74aae127b28c047,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_ea91d70feb603421f74aae127b28c047,chair/ShapeNet/ea91d70feb603421f74aae127b28c047,FALSE,chair,chair,4,"['there', 'are', 'no', 'arm', 'rests']",5,there are no arm rests,test,test,test,test,"[1, 15, 16, 123, 517, 540, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,It does not have arms.,3LUY3GC631TRVRUY76BRKFZ24VWP76,212,e79b6815925c07acb0957d845ac33749,chair,ShapeNet,part_3_removed_e79b6815925c07acb0957d845ac33749,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_e79b6815925c07acb0957d845ac33749,chair/ShapeNet/e79b6815925c07acb0957d845ac33749,TRUE,chair,chair,1,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,train,test,train,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_505,Target does not have legs in the conventional sense,3RWE2M8QWJ3DAVI16SDQ1BKKWXWN05,44,e79b6815925c07acb0957d845ac33749,chair,ShapeNet,part_2_removed_e79b6815925c07acb0957d845ac33749,chair,ShapeNet,FALSE,segmented_chair/part_2_removed/part_2_removed_e79b6815925c07acb0957d845ac33749,chair/ShapeNet/e79b6815925c07acb0957d845ac33749,FALSE,chair,chair,2,"['target', 'does', 'not', 'have', 'legs', 'in', 'the', 'conventional', 'sense']",9,target does not have legs in the conventional sense,train,test,train,test,"[1, 11, 39, 40, 84, 547, 90, 10, 1314, 3, 2, 0, 0, 0, 0, 0, 0, 0]"
user_1200,This chair does not have legs.,32SCWG5HIJX8RRGTOW6ZE1Z69DSP69,69,e76b4872f067395988dc0b76b0c63f53,chair,ShapeNet,part_2_removed_e76b4872f067395988dc0b76b0c63f53,chair,ShapeNet,FALSE,segmented_chair/part_2_removed/part_2_removed_e76b4872f067395988dc0b76b0c63f53,chair/ShapeNet/e76b4872f067395988dc0b76b0c63f53,FALSE,chair,chair,2,"['this', 'chair', 'does', 'not', 'have', 'legs']",6,this chair does not have legs,train,test,train,test,"[1, 301, 2251, 39, 40, 84, 547, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_923,It does not have legs,32VNZTT0A9XFOHSUI0H9MYF7E9F4RA,131,e5ea39e2b4c28ea2a8df8437731d97b4,chair,ShapeNet,part_2_removed_e5ea39e2b4c28ea2a8df8437731d97b4,chair,ModelNet,FALSE,segmented_chair/part_2_removed/part_2_removed_e5ea39e2b4c28ea2a8df8437731d97b4,chair/ShapeNet/e5ea39e2b4c28ea2a8df8437731d97b4,FALSE,chair,chair,1,"['it', 'does', 'not', 'have', 'legs']",5,it does not have legs,train,test,train,test,"[1, 23, 39, 40, 84, 547, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2105,target does not have arms,38JBBYETQQ3QFDNPWUX9NRGOZN7E4V,64,e193b0d75fa674142b3e9b6eb52d35df,chair,ShapeNet,part_3_removed_e193b0d75fa674142b3e9b6eb52d35df,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_e193b0d75fa674142b3e9b6eb52d35df,chair/ShapeNet/e193b0d75fa674142b3e9b6eb52d35df,FALSE,chair,chair,0,"['target', 'does', 'not', 'have', 'arms']",5,target does not have arms,train,test,train,test,"[1, 11, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1161,The target does not have arms,34MAJL3QP6GN5F7S7AGD40CR8V943G,110,dc182335876fbebbe6fe3612af521500,chair,ShapeNet,part_3_removed_dc182335876fbebbe6fe3612af521500,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_dc182335876fbebbe6fe3612af521500,chair/ShapeNet/dc182335876fbebbe6fe3612af521500,FALSE,chair,chair,4,"['the', 'target', 'does', 'not', 'have', 'arms']",6,the target does not have arms,train,test,train,test,"[1, 10, 11, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,It does not have a body with curves.,3TAYZSBPLN1HMIDKTBYQJTN401Q2SE,171,d87a2d766579f15e38b27a25d1336579,lamp,ShapeNet,part_3_removed_d87a2d766579f15e38b27a25d1336579,lamp,ShapeNet,FALSE,segmented_lamp/part_3_removed/part_3_removed_d87a2d766579f15e38b27a25d1336579,lamp/ShapeNet/d87a2d766579f15e38b27a25d1336579,FALSE,lamp,lamp,2,"['it', 'does', 'not', 'have', 'a', 'body', 'with', 'curves']",8,it does not have a body with curves,train,test,train,test,"[1, 23, 39, 40, 84, 26, 45, 121, 156, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,It does not have arms.,3NL0RFNU0HGT1DFZSG8CLMTTJD94KX,121,d5d4dfb9e6901b66a3f22b4b00de6dfb,chair,ShapeNet,part_3_removed_d5d4dfb9e6901b66a3f22b4b00de6dfb,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_d5d4dfb9e6901b66a3f22b4b00de6dfb,chair/ShapeNet/d5d4dfb9e6901b66a3f22b4b00de6dfb,FALSE,chair,chair,0,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,train,test,train,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,It does not have a shade.,3U5JL4WY5M2ZLDE6RZN1BG1UZP54XR,77,d385523f0cd93d48d6084fb53091249,lamp,ShapeNet,part_1_removed_d385523f0cd93d48d6084fb53091249,lamp,ShapeNet,FALSE,segmented_lamp/part_1_removed/part_1_removed_d385523f0cd93d48d6084fb53091249,lamp/ShapeNet/d385523f0cd93d48d6084fb53091249,TRUE,lamp,lamp,1,"['it', 'does', 'not', 'have', 'a', 'shade']",6,it does not have a shade,train,test,train,test,"[1, 23, 39, 40, 84, 26, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_505,Target has no arms,3BV8HQ2ZZYU14NARZDO2O6ABAWUA6Q,44,chair_0930,chair,ModelNet,part_3_removed_chair_0930,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_chair_0930,chair/ModelNet/chair_0930,FALSE,chair,chair,4,"['target', 'has', 'no', 'arms']",4,target has no arms,train,test,train,test,"[1, 11, 24, 123, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2120,There is no armrest.,3KOPY89HMAVD8XQDAH3HA21AQO73J6,78,chair_0863,chair,ModelNet,part_3_removed_chair_0863,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_chair_0863,chair/ModelNet/chair_0863,TRUE,chair,chair,3,"['there', 'is', 'no', 'armrest']",4,there is no armrest,train,test,train,test,"[1, 15, 7, 123, 2296, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_456,The target's legs have no feet.,3DY4FPOOA3HEIUB92WIWVOFKRUGVRJ,119,chair_0851,chair,ModelNet,part_2_removed_chair_0851,chair,ShapeNet,FALSE,segmented_chair/part_2_removed/part_2_removed_chair_0851,chair/ModelNet/chair_0851,TRUE,chair,chair,0,"['the', 'target', ""'s"", 'legs', 'have', 'no', 'feet']",7,the target 's legs have no feet,test,test,test,test,"[1, 10, 11, 12, 547, 84, 123, 200, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_428,There are no armrests.,3NVC2EB65SS33MLCWH4KKPGY3XCY31,154,chair_0746,chair,ModelNet,part_3_removed_chair_0746,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_chair_0746,chair/ModelNet/chair_0746,FALSE,chair,chair,2,"['there', 'are', 'no', 'armrests']",4,there are no armrests,train,test,train,test,"[1, 15, 16, 123, 2271, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2026,It does not have arms,3X4JMASXCO2B9MT4328HAGKQFA9B0Z,177,chair_0710,chair,ModelNet,part_3_removed_chair_0710,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_chair_0710,chair/ModelNet/chair_0710,TRUE,chair,chair,0,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,val,test,val,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1633,The target has no arm rests.,3SNLUL3WO6G32HRWSMBVDQ427NDLU9,67,chair_0491,chair,ModelNet,part_3_removed_chair_0491,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_chair_0491,chair/ModelNet/chair_0491,FALSE,chair,chair,2,"['the', 'target', 'has', 'no', 'arm', 'rests']",6,the target has no arm rests,train,test,train,test,"[1, 10, 11, 24, 123, 517, 540, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2105,target has no arms,3Z4XG4ZF4AK04E1832DESSH0HFFX8V,67,cd9e22cfd389e5d9d330ae3d046a415c,chair,ShapeNet,part_3_removed_cd9e22cfd389e5d9d330ae3d046a415c,chair,ModelNet,FALSE,segmented_chair/part_3_removed/part_3_removed_cd9e22cfd389e5d9d330ae3d046a415c,chair/ShapeNet/cd9e22cfd389e5d9d330ae3d046a415c,TRUE,chair,chair,2,"['target', 'has', 'no', 'arms']",4,target has no arms,train,test,train,test,"[1, 11, 24, 123, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_959,The shade does not have a base,39OWYR0EPMKYJY15GC5MLY5VW9FFYN,50,c9a464649fb52e99d5cb6d178687b980,lamp,ShapeNet,part_0_removed_c9a464649fb52e99d5cb6d178687b980,lamp,ShapeNet,FALSE,segmented_lamp/part_0_removed/part_0_removed_c9a464649fb52e99d5cb6d178687b980,lamp/ShapeNet/c9a464649fb52e99d5cb6d178687b980,FALSE,lamp,lamp,3,"['the', 'shade', 'does', 'not', 'have', 'a', 'base']",7,the shade does not have a base,test,test,test,test,"[1, 10, 1873, 39, 40, 84, 26, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1159,there is no seat cushion,3X4JMASXCO2B9MT4328HAGKPZYOB08,168,c8860d4563be0f34f2b7580a739cd4d5,chair,ShapeNet,part_1_removed_c8860d4563be0f34f2b7580a739cd4d5,chair,ShapeNet,TRUE,segmented_chair/part_1_removed/part_1_removed_c8860d4563be0f34f2b7580a739cd4d5,chair/ShapeNet/c8860d4563be0f34f2b7580a739cd4d5,FALSE,chair,chair,2,"['there', 'is', 'no', 'seat', 'cushion']",5,there is no seat cushion,test,test,test,test,"[1, 15, 7, 123, 2255, 2256, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1577,Has no armrests,33JKGHPFYENAD9P8VX0OZ8RXZ10MNK,121,c472a815afff5ff0e6c5cd45aa112726,chair,ShapeNet,part_3_removed_c472a815afff5ff0e6c5cd45aa112726,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_c472a815afff5ff0e6c5cd45aa112726,chair/ShapeNet/c472a815afff5ff0e6c5cd45aa112726,TRUE,chair,chair,4,"['has', 'no', 'armrests']",3,has no armrests,train,test,train,test,"[1, 24, 123, 2271, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_883,There are no armrests.,30LB5CDZNE37RKWK9GOKWYRT6CRZ0N,105,c46eb7460be602b6bf80985a99195eb8,chair,ShapeNet,part_3_removed_c46eb7460be602b6bf80985a99195eb8,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_c46eb7460be602b6bf80985a99195eb8,chair/ShapeNet/c46eb7460be602b6bf80985a99195eb8,TRUE,chair,chair,2,"['there', 'are', 'no', 'armrests']",4,there are no armrests,train,test,train,test,"[1, 15, 16, 123, 2271, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
